Rank,Root Domain,Linking Root Domains,Domain Authority
224,berkeley.edu,389206,93
225,nokia.com,160951,93
226,groups.google.com,304387,93
227,pexels.com,136998,93
228,ovh.com,395488,93
229,mirror.co.uk,259469,93
230,yale.edu,282428,93
231,hollywoodreporter.com,215682,93
232,biglobe.ne.jp,225732,93
233,addtoany.com,700149,93
234,ja.wikipedia.org,327614,93
235,express.co.uk,201371,93
236,marriott.com,333417,93
237,playstation.com,180183,93
238,namecheap.com,716223,93
239,forms.gle,292922,93
240,e-recht24.de,445303,93
241,rtve.es,142207,93
242,bt.com,166853,93
243,ted.com,477687,93
244,list-manage.com,615380,93
245,google.com.tw,128532,93
246,unesco.org,253211,93
247,repubblica.it,171781,93
248,dan.com,1358091,93
249,news.com.au,252663,93
250,disqus.com,925777,93
251,loc.gov,364145,93
252,digg.com,823145,93
253,php.net,616011,93
254,quora.com,305503,93
255,gizmodo.com,343312,93
256,it.wikipedia.org,284210,93
257,over-blog-kiwi.com,153342,93
258,researchgate.net,310622,93
259,instagram.com,20129518,93
260,000webhost.com,287943,93
261,weibo.com,1499819,93
262,storage.googleapis.com,421170,93
263,netflix.com,239072,93
264,rt.com,232160,93
265,goo.ne.jp,298463,93
266,pbs.org,422094,93
267,sciencemag.org,262699,93
268,psychologytoday.com,270336,93
269,soundcloud.com,1553900,93
270,orkut.com.br,120361,93
271,imageshack.com,367066,93
272,themeforest.net,505608,93
273,noaa.gov,280830,93
274,google.pl,188053,93
275,nature.com,439169,93
276,blackberry.com,136340,93
277,usnews.com,325035,93
278,cnbc.com,392068,93
279,mega.nz,149068,93
280,shutterstock.com,247227,93
281,bp2.blogger.com,522291,93
282,gooyaabitemplates.com,332545,93
283,alibaba.com,375774,93
284,google.co.in,247697,93
285,godaddy.com,2312924,93
286,abc.es,157457,93
287,ytimg.com,242190,93
288,deezer.com,122064,93
289,fastcompany.com,255115,93
290,apache.org,867226,93
291,bp0.blogger.com,521932,93
292,windowsphone.com,124121,93
293,sapo.pt,206791,93
294,asahi.com,161590,93
295,vox.com,414586,93
296,ox.ac.uk,218240,93
297,gofundme.com,263025,93
298,pl.wikipedia.org,127991,93
299,cornell.edu,371645,93
300,gmail.com,182230,93
301,nydailynews.com,304424,93
302,4shared.com,508456,93
303,sendspace.com,154004,93
304,welt.de,159680,93
305,thetimes.co.uk,299003,93
306,disney.com,211932,93
307,eventbrite.com,549361,93
308,wikihow.com,347504,93
309,theglobeandmail.com,221318,93
310,stanford.edu,512030,93
311,rambler.ru,235583,93
312,vice.com,302295,93
313,princeton.edu,277927,93
314,metro.co.uk,176077,93
315,twitch.tv,290129,93
316,webmd.com,551889,93
317,nvidia.com,148174,93
318,channel4.com,144757,93
319,academia.edu,284812,93
320,fifa.com,143774,93
321,ovh.co.uk,559014,93
322,nikkei.com,186160,93
323,smh.com.au,262872,93
324,www.wikipedia.org,529515,93
325,sfgate.com,320693,93
326,cambridge.org,218476,93
327,ea.com,163481,93
328,target.com,227959,93
329,surveymonkey.com,381921,93
330,ikea.com,264215,93
331,qq.com,4142329,93
332,fortune.com,216980,93
333,adssettings.google.com,295579,93
334,washington.edu,306089,93
335,tripadvisor.com,450664,93
336,asus.com,140653,93
337,nationalgeographic.com,533251,93
338,spiegel.de,265331,93
339,oracle.com,516941,93
340,theverge.com,298343,93
341,about.com,679573,93
342,photobucket.com,1608450,93
343,wa.me,354612,93
344,espn.com,292729,93
345,iubenda.com,179467,93
346,doubleclick.net,655280,93
347,naver.com,404891,93
348,nginx.com,402279,93
349,ndtv.com,152048,93
350,mashable.com,350706,93
351,standard.co.uk,144398,93
352,google.co.id,133868,93
353,rapidshare.com,283872,93
354,cbc.ca,349135,93
355,xinhuanet.com,645076,93
356,spotify.com,1074642,93
357,huffpost.com,414918,93
358,goodreads.com,658296,93
359,shopify.com,1149276,93
360,worldbank.org,203335,93
361,finance.yahoo.com,371420,93
362,variety.com,198508,93
363,box.com,229962,93
364,elmundo.es,192559,93
365,theatlantic.com,423697,93
366,xbox.com,144432,93
367,bp1.blogger.com,521996,93
368,mit.edu,566684,93
369,dell.com,212998,93
370,icann.org,363892,93
371,t.co,1697080,93
372,mysql.com,400211,93
373,googleblog.com,214766,93
374,ru.wikipedia.org,368094,93
375,www.over-blog.com,545547,93
376,yadi.sk,176022,93
377,a8.net,418466,93
378,sciencedirect.com,414620,93
